Timestamp,Source_IP,Packet_Size,Request_Count
1742321846.882357,192.168.0.100,54,597
1742321846.885299,192.168.0.100,735,598
1742321846.88984,18.172.78.102,56,90
1742321846.890099,18.172.78.102,279,91
1742321846.891394,192.168.0.100,60,599
1742321846.892211,192.168.0.100,128,600
1742321846.892754,192.168.0.100,328,601
1742321846.895666,18.172.78.102,56,92
1742321846.895666,18.172.78.102,54,93
1742321846.895865,18.172.78.102,56,94
1742321846.895865,18.172.78.102,233,95
1742321846.910085,192.168.0.100,54,602
1742321846.940851,192.168.0.100,54,603
1742321847.284094,18.172.78.102,1385,96
1742321847.301814,192.168.0.100,66,604
1742321847.318252,18.66.41.55,68,150
1742321847.318353,192.168.0.100,54,605
1742321847.321109,192.168.0.100,721,606
1742321847.325352,18.66.41.55,56,151
1742321847.325546,18.66.41.55,279,152
1742321847.326631,192.168.0.100,60,607
1742321847.327192,192.168.0.100,128,608
1742321847.327694,192.168.0.100,341,609
1742321847.331989,18.66.41.55,68,153
1742321847.331989,18.66.41.55,54,154
1742321847.332223,18.66.41.55,56,155
1742321847.332223,18.66.41.55,233,156
1742321847.332269,192.168.0.100,54,610
1742321847.380184,192.168.0.100,54,611
1742321847.559134,18.66.41.55,1494,157
1742321847.559134,18.66.41.55,1494,158
1742321847.559134,18.66.41.55,290,159
1742321847.559287,192.168.0.100,54,612
1742321847.560402,192.168.0.100,94,613
1742321847.560511,192.168.0.100,94,614
1742321847.560634,192.168.0.100,54,615
1742321847.563473,192.168.0.100,66,616
1742321847.565814,18.66.41.55,92,160
1742321847.565814,18.66.41.55,84,161
1742321847.565814,18.66.41.55,66,162
1742321847.565919,192.168.0.100,54,617
1742321847.568808,18.66.41.55,56,163
1742321847.568808,18.66.41.55,56,164
1742321847.568808,18.66.41.55,66,165
1742321847.569,192.168.0.100,54,618
1742321847.572291,192.168.0.100,721,619
1742321847.576802,18.66.41.55,56,166
1742321847.577054,18.66.41.55,279,167
1742321847.578537,192.168.0.100,60,620
1742321847.579148,192.168.0.100,128,621
1742321847.579701,192.168.0.100,357,622
1742321847.58239,18.66.41.55,68,168
1742321847.58239,18.66.41.55,54,169
1742321847.582592,18.66.41.55,233,170
1742321847.629778,192.168.0.100,54,623
1742321847.64229,18.66.41.55,56,171
1742321847.711836,18.66.41.55,471,172
1742321847.713193,192.168.0.100,66,624
1742321847.730284,18.172.78.102,68,97
1742321847.730423,192.168.0.100,54,625
1742321847.733261,192.168.0.100,735,626
1742321847.735868,18.172.78.102,56,98
1742321847.736139,18.172.78.102,279,99
1742321847.737047,192.168.0.100,60,627
1742321847.737646,192.168.0.100,128,628
1742321847.738203,192.168.0.100,371,629
1742321847.740982,18.172.78.102,56,100
1742321847.741029,18.172.78.102,233,101
1742321847.743876,18.172.78.102,706,102
1742321847.743953,192.168.0.100,54,630
1742321847.746421,192.168.0.100,66,631
1742321847.750151,18.66.41.55,68,173
1742321847.750293,192.168.0.100,54,632
1742321847.753151,192.168.0.100,721,633
1742321847.753925,192.168.0.100,54,634
1742321847.756854,18.66.41.55,56,174
1742321847.757129,18.66.41.55,279,175
1742321847.757991,192.168.0.100,60,635
1742321847.758489,192.168.0.100,128,636
1742321847.759063,192.168.0.100,314,637
1742321847.761566,18.66.41.55,56,176
1742321847.761566,18.66.41.55,54,177
1742321847.762247,18.66.41.55,56,178
1742321847.762247,18.66.41.55,233,179
1742321847.816107,192.168.0.100,54,638
1742321847.84818,192.168.0.100,70,639
1742321847.850115,192.168.0.1,98,383
1742321847.88468,18.66.41.55,464,180
1742321847.885979,192.168.0.100,66,640
1742321847.906257,18.172.78.102,68,103
1742321847.906364,192.168.0.100,54,641
1742321847.909345,192.168.0.100,735,642
1742321847.91351,18.172.78.102,56,104
1742321847.913681,18.172.78.102,279,105
1742321847.914987,192.168.0.100,60,643
1742321847.915717,192.168.0.100,128,644
1742321847.916407,192.168.0.100,328,645
1742321847.919675,18.172.78.102,56,106
1742321847.919675,18.172.78.102,54,107
1742321847.919882,18.172.78.102,56,108
1742321847.919882,18.172.78.102,233,109
1742321847.925519,192.168.0.100,54,646
1742321847.972804,192.168.0.100,54,647
1742321848.299756,18.172.78.102,814,110
1742321848.30008,18.172.78.102,293,111
1742321848.300183,192.168.0.100,54,648
1742321848.3271,192.168.0.100,66,649
1742321848.348403,18.66.41.55,68,181
1742321848.348549,192.168.0.100,54,650
1742321848.351559,192.168.0.100,721,651
1742321848.355021,18.66.41.55,56,182
1742321848.355261,18.66.41.55,279,183
1742321848.356621,192.168.0.100,60,652
1742321848.357408,192.168.0.100,128,653
1742321848.358094,192.168.0.100,336,654
1742321848.362273,18.66.41.55,56,184
1742321848.362273,18.66.41.55,54,185
1742321848.362545,18.66.41.55,56,186
1742321848.362545,18.66.41.55,233,187
1742321848.405843,192.168.0.100,54,655
1742321848.492955,18.66.41.55,1494,188
1742321848.494065,18.66.41.55,835,189
1742321848.494132,192.168.0.100,54,656
1742321848.502531,18.66.41.55,92,190
1742321848.502531,18.66.41.55,84,191
1742321848.502643,192.168.0.100,54,657
1742321848.503027,192.168.0.100,94,658
1742321848.50312,192.168.0.100,94,659
1742321848.503215,192.168.0.100,54,660
1742321848.504342,192.168.0.1,314,384
1742321848.504601,192.168.0.100,66,661
1742321848.504792,192.168.0.1,314,385
1742321848.506724,18.66.41.55,68,192
1742321848.506724,18.66.41.55,54,193
1742321848.507568,18.66.41.55,56,194
1742321848.507568,18.66.41.55,66,195
1742321848.507648,192.168.0.100,54,662
1742321848.507796,192.168.0.100,54,663
1742321848.509342,192.168.0.1,323,386
1742321848.510246,192.168.0.100,721,664
1742321848.513015,192.168.0.1,323,387
1742321848.516494,192.168.0.1,378,388
1742321848.518104,18.66.41.55,56,196
1742321848.518329,18.66.41.55,279,197
1742321848.519352,192.168.0.100,60,665
1742321848.519836,192.168.0.100,128,666
1742321848.520285,192.168.0.100,372,667
1742321848.520383,192.168.0.100,167,668
1742321848.520458,192.168.0.1,378,389
1742321848.522922,18.66.41.55,56,198
1742321848.524108,18.66.41.55,233,199
1742321848.5251,18.66.41.55,56,200
1742321848.5251,192.168.0.1,388,390
1742321848.528692,192.168.0.1,388,391
1742321848.576854,192.168.0.100,54,669
1742321848.685,18.66.41.55,912,201
1742321848.6874,192.168.0.100,66,670
1742321848.706254,18.66.41.55,68,202
1742321848.706413,192.168.0.100,54,671
1742321848.70936,192.168.0.100,721,672
1742321848.713386,18.66.41.55,56,203
1742321848.713609,18.66.41.55,279,204
1742321848.714812,192.168.0.100,60,673
1742321848.715403,192.168.0.100,128,674
1742321848.716039,192.168.0.100,321,675
1742321848.719538,18.66.41.55,56,205
1742321848.719538,18.66.41.55,54,206
1742321848.719775,18.66.41.55,56,207
1742321848.719775,18.66.41.55,233,208
1742321848.733731,192.168.0.100,54,676
1742321848.764539,192.168.0.100,54,677
1742321848.843385,18.66.41.55,471,209
1742321848.844772,192.168.0.100,66,678
1742321848.862328,18.172.78.102,68,112
1742321848.862537,192.168.0.100,54,679
1742321848.865698,192.168.0.100,735,680
1742321848.877127,18.172.78.102,56,113
1742321848.877127,18.172.78.102,279,114
1742321848.878393,192.168.0.100,60,681
1742321848.87903,192.168.0.100,128,682
1742321848.879582,192.168.0.100,335,683
1742321848.884112,18.172.78.102,56,115
1742321848.884268,18.172.78.102,233,116
1742321848.890761,192.168.0.100,54,684
1742321848.937774,192.168.0.100,54,685
1742321848.942156,18.172.78.102,56,117
1742321849.264444,18.172.78.102,1217,118
1742321849.279738,192.168.0.100,66,686
1742321849.29829,18.66.41.55,68,210
1742321849.298449,192.168.0.100,54,687
1742321849.301386,192.168.0.100,721,688
1742321849.306358,18.66.41.55,56,211
1742321849.306585,18.66.41.55,279,212
1742321849.307734,192.168.0.100,60,689
1742321849.308317,192.168.0.100,128,690
1742321849.308925,192.168.0.100,372,691
1742321849.30906,192.168.0.100,159,692
1742321849.31088,192.168.0.100,54,693
1742321849.312799,18.66.41.55,68,213
1742321849.312799,18.66.41.55,54,214
1742321849.31324,18.66.41.55,56,215
1742321849.31324,18.66.41.55,233,216
1742321849.357983,192.168.0.100,54,694
1742321849.457087,18.66.41.55,906,217
1742321849.459609,192.168.0.100,66,695
1742321849.478274,18.66.41.55,68,218
1742321849.478383,192.168.0.100,54,696
1742321849.481504,192.168.0.100,721,697
1742321849.485705,18.66.41.55,56,219
